gt,gg
3.47,2.68
3.47,2.68
2.68,3.47
3.19,3.4
3.19,3.4
3.19,3.4
3.19,3.4
3.19,3.4
3.13,3.4
3.13,3.4
3.5,2.8
3.5,2.8
3.31,3.19
3.31,3.19
3.31,3.19
3.62,3.39
3.62,3.39
3.62,3.39
2.91,3.03
3.03,3.11
3.03,3.11
2.97,3.23
2.97,3.23
3.03,3.39
2.97,3.23
2.97,3.23
2.97,3.23
3.03,3.39
3.34,3.46
3.6,3.9
2.91,3.41
2.91,3.41
2.91,3.07
2.91,3.41
2.91,3.41
2.91,3.41
2.92,3.41
3.15,3.58
3.15,3.58
3.15,3.58
3.15,3.58
3.15,3.58
3.15,3.58
3.31,3.23
3.03,3.11
3.03,3.11
3.43,3.23
3.63,4.17
3.63,4.17
3.54,2.76
3.03,3.15
3.03,3.15
3.03,3.15
3.03,3.15
3.08,3.15
?,?
?,?
?,?
?,?
3.39,3.39
3.39,3.39
3.39,3.39
3.39,3.39
3.39,3.39
3.39,3.39
3.76,3.16
3.43,3.64
3.58,3.64
3.58,3.64
3.58,3.64
3.58,3.64
3.46,3.1
3.46,3.1
3.8,3.35
3.8,3.35
3.78,3.12
2.97,3.23
2.97,3.23
2.97,3.23
3.03,3.39
3.17,3.46
3.35,3.46
3.58,3.86
3.59,3.86
3.59,3.86
3.35,3.46
3.35,3.46
3.17,3.46
3.17,3.46
3.15,3.29
2.99,3.47
3.15,3.29
3.15,3.29
3.15,3.29
3.15,3.29
3.15,3.29
3.15,3.29
3.15,3.29
3.15,3.29
3.33,3.47
3.33,3.47
3.43,3.27
3.43,3.27
3.43,3.27
3.43,3.27
3.43,3.27
3.43,3.27
3.46,3.19
3.7,3.52
3.46,3.19
3.7,3.52
3.46,2.19
3.7,3.52
3.46,2.19
3.7,3.52
3.46,3.19
3.7,3.52
3.61,3.21
2.97,3.23
3.03,3.39
2.97,3.23
2.97,3.23
2.97,3.23
3.35,3.46
3.59,3.86
3.94,3.11
3.74,2.9
3.74,2.9
3.74,2.9
3.94,3.11
3.46,3.9
3.46,3.9
3.54,3.07
3.54,3.07
2.54,2.07
3.54,3.07
3.54,3.07
3.54,3.07
3.62,2.36
3.62,2.64
3.62,2.64
3.62,2.64
3.62,2.64
3.62,2.64
3.62,2.64
3.62,2.64
3.62,2.64
3.62,2.64
3.62,2.64
3.62,2.64
3.05,3.03
3.05,3.03
3.05,3.03
3.05,3.03
3.05,3.03
3.05,3.03
3.19,3.03
3.19,3.03
3.27,3.35
3.27,3.35
3.19,3.03
3.19,3.03
3.19,3.03
3.19,3.03
3.19,3.03
3.24,3.08
3.24,3.08
3.62,3.5
3.62,3.5
3.62,3.5
3.62,3.5
3.62,3.5
3.62,3.5
3.31,3.54
3.27,3.35
3.31,3.54
3.31,3.54
3.31,3.54
3.27,3.35
3.27,3.35
3.27,3.35
3.27,3.35
3.01,3.4
3.19,3.4
3.01,3.4
3.19,3.4
3.19,3.4
3.01,3.4
3.19,3.4
3.19,3.4
3.19,3.4
3.19,3.4
3.01,3.4
3.19,3.4
3.78,3.15
3.78,3.15
3.78,3.15
3.78,3.15
3.62,3.15
3.62,3.15
3.78,3.15
3.78,3.15
3.58,2.87
3.01,3.4
3.78,3.15
